Dénomination,Voies d'admninistration,Autorisation,,
ACAMPROSATE VIATRIS 333 mg,comprimé enrobé gastro-résistant(e),orale,,
ACARBOSE ARROW LAB 100 mg,comprimé,orale,,
ACARBOSE ARROW LAB 50 mg,comprimé,orale,,
ACARBOSE BIOGARAN 100 mg,comprimé,orale,,
ACARBOSE BIOGARAN 50 mg,comprimé,orale,,
ACARBOSE EG 100 mg,comprimé,orale,,
ACARBOSE EG 50 mg,comprimé,orale,,
ACARBOSE SANDOZ 100 mg,comprimé,orale,,
ACARBOSE SANDOZ 50 mg,comprimé,orale,,
ACARBOSE VIATRIS 100 mg,comprimé sécable,orale,,
ACARBOSE VIATRIS 50 mg,comprimé,orale,,
ACARBOSE ZENTIVA 100 mg,comprimé,orale,,
ACARBOSE ZENTIVA 50 mg,comprimé,orale,,
ACARIZAX 12 SQ-HDM,lyophilisat,sublinguale,,
ACCUSOL 35 POTASSIUM 2 mmol/l, hémodialyse et hémodiafiltration,solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration,,
ACCUSOL 35 POTASSIUM 4 mmol/l, hémodialyse et hémodiafiltration,solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration,,
ACCUSOL 35, hémodialyse et hémodiafiltration,solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration,,
ACEBUTOLOL ALMUS 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL ARROW LAB 200 mg,comprimé pelliculé sécable,orale,,
ACEBUTOLOL ARROW LAB 400 mg,comprimé pelliculé sécable,orale,,
ACEBUTOLOL BIOGARAN 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL BIOGARAN 400 mg,comprimé pelliculé,orale,,
ACEBUTOLOL CRISTERS 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL EG 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL EG 400 mg,comprimé pelliculé,orale,,
ACEBUTOLOL SANDOZ 200 mg,comprimé enrobé,orale,,
ACEBUTOLOL SANDOZ 400 mg,comprimé enrobé,orale,,
ACEBUTOLOL TEVA 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL TEVA 400 mg,comprimé pelliculé sécable,orale,,
ACEBUTOLOL VIATRIS 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL VIATRIS 400 mg,comprimé pelliculé,orale,,
ACEBUTOLOL ZENTIVA 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL ZENTIVA 400 mg,comprimé pelliculé,orale,,
ACEBUTOLOL ZYDUS 200 mg,comprimé pelliculé,orale,,
ACEBUTOLOL ZYDUS 400 mg,comprimé pelliculé,orale,,
ACECLOFENAC ACCORD 100 mg,comprimé pelliculé,orale,,
ACECLOFENAC BIOGARAN 100 mg,comprimé pelliculé,orale,,
ACECLOFENAC EG LABO 100 mg,comprimé pelliculé,orale,,
ACECLOFENAC VIATRIS 100 mg,comprimé pelliculé,orale,,
ACETANILIDUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACETATE DE CYPROTERONE ARROW 100 mg,comprimé sécable,orale,,
ACETATE DE CYPROTERONE ARROW 50 mg,comprimé sécable,orale,,
ACETICUM ACIDUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACETICUM ACIDUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACETONUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACETYLCYSTEINE ARROW 200 mg,comprimé effervescent(e),orale,,
ACETYLCYSTEINE BGR CONSEIL 200 mg SANS SUCRE,poudre pour solution buvable,orale,,
ACETYLCYSTEINE EG 200 mg,poudre pour solution buvable,orale,,
ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE,poudre pour solution buvable,orale,,
ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE,poudre pour solution buvable,orale,,
ACETYLCYSTEINE VIATRIS CONSEIL 200 mg,poudre pour solution buvable,orale,,
ACETYLLEUCINE BIOGARAN 500 mg,comprimé,orale,,
ACETYLLEUCINE TEVA 500 mg,comprimé,orale,,
ACETYLLEUCINE VIATRIS 500 mg,comprimé,orale,,
ACETYLLEUCINE ZENTIVA 500 mg,comprimé,orale,,
ACICLOVIR AGEPHA 30 mg/g,pommade,ophtalmique,,
ACICLOVIR ALMUS 200 mg,comprimé,orale,,
ACICLOVIR ALMUS 5 %,crème,cutanée,,
ACICLOVIR ARROW 5 %,crème,cutanée,,
ACICLOVIR ARROW 800 mg,comprimé,orale,,
ACICLOVIR ARROW CONSEIL 5 %,crème,cutanée,,
ACICLOVIR ARROW GENERIQUES 200 mg,comprimé,orale,,
ACICLOVIR BIOGARAN 200 mg,comprimé,orale,,
ACICLOVIR BIOGARAN 5 %,crème,cutanée,,
ACICLOVIR BIOGARAN 800 mg,comprimé,orale,,
ACICLOVIR BIOGARAN CONSEIL 5 %,crème,cutanée,,
ACICLOVIR CRISTERS 200 mg,comprimé,orale,,
ACICLOVIR CRISTERS 5 %,crème,cutanée,,
ACICLOVIR CRISTERS CONSEIL 5 %,crème,cutanée,,
ACICLOVIR EG 200 mg,comprimé,orale,,
ACICLOVIR EG 5 POUR CENT,crème,cutanée,,
ACICLOVIR EG 800 mg,comprimé,orale,,
ACICLOVIR HIKMA 250 mg,poudre pour solution injectable,intraveineuse,,
ACICLOVIR HIKMA 500 mg,poudre pour solution injectable,intraveineuse,,
ACICLOVIR SANDOZ CONSEIL 5 %,crème,cutanée,,
ACICLOVIR TEVA 200 mg,comprimé,orale,,
ACICLOVIR TEVA 800 mg,comprimé,orale,,
ACICLOVIR TEVA SANTE 5 %,crème,cutanée,,
ACICLOVIR VIATRIS 200 mg,comprimé,orale,,
ACICLOVIR VIATRIS 250 mg,poudre pour solution injectable,intraveineuse,,
ACICLOVIR VIATRIS 5 %,crème,cutanée,,
ACICLOVIR VIATRIS 500 mg,poudre pour solution injectable,intraveineuse,,
ACICLOVIR VIATRIS 800 mg,comprimé,orale,,
ACICLOVIR VIATRIS CONSEIL 5 %,crème,cutanée,,
ACICLOVIR ZENTIVA 200 mg,comprimé,orale,,
ACICLOVIR ZENTIVA 5 %,crème,cutanée,,
ACICLOVIR ZENTIVA 800 mg,comprimé,orale,,
ACICLOVIR ZYDUS 200 mg,comprimé,orale,,
ACICLOVIR ZYDUS 5 %,crème,cutanée,,
ACIDE ACETYLSALICYLIQUE VIATRIS 100 mg,comprimé gastro-résistant(e),orale,,
ACIDE ALENDRONIQUE ALTER 70 mg,comprimé pelliculé,orale,,
ACIDE ALENDRONIQUE ARROW LAB 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE BIOGARAN 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE CRISTERS 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE EG 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE TEVA SANTE 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE VIATRIS 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE ZENTIVA 70 mg,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/2800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/5600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/2800 UI,comprimé,orale,,
ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/5 600 UI,comprimé,orale,,
ACIDE FOLIQUE ARROW 5 mg,comprimé,orale,,
ACIDE FOLIQUE CCD 0, comprimé,comprimé,,
ACIDE FOLIQUE CCD 5 mg,comprimé,orale,,
ACIDE FOLIQUE VIATRIS 5 mg,comprimé,orale,,
ACIDE FUSIDIQUE ARROW 2 %,crème,cutanée,,
ACIDE FUSIDIQUE BGR 2 %,crème,cutanée,,
ACIDE FUSIDIQUE EG 2 %,crème,cutanée,,
ACIDE FUSIDIQUE SANDOZ 2 %,crème,cutanée,,
ACIDE FUSIDIQUE VIATRIS 2 %,crème,cutanée,,
ACIDE FUSIDIQUE ZENTIVA 2 %,crème,cutanée,,
ACIDE GADOTERIQUE GUERBET 0, solution injectable,solution injectable,,
ACIDE TIAPROFENIQUE ARROW 100 mg,comprimé sécable,orale,,
ACIDE TIAPROFENIQUE ZENTIVA 100 mg,comprimé sécable,orale,,
ACIDE TRANEXAMIQUE ACCORD 0, solution injectable,solution injectable,,
ACIDE TRANEXAMIQUE AGUETTANT 0, solution injectable,solution injectable,,
ACIDE TRANEXAMIQUE ARROW 0, solution injectable,solution injectable,,
ACIDE TRANEXAMIQUE VIATRIS SANTE 0, solution injectable,solution injectable,,
ACIDE URSODESOXYCHOLIQUE ARROW 250 mg,comprimé pelliculé,orale,,
ACIDE URSODESOXYCHOLIQUE ARROW 500 mg,comprimé pelliculé sécable,orale,,
ACIDE URSODESOXYCHOLIQUE BIOGARAN 250 mg,comprimé pelliculé,orale,,
ACIDE URSODESOXYCHOLIQUE BIOGARAN 500 mg,comprimé pelliculé sécable,orale,,
ACIDE URSODESOXYCHOLIQUE SUBSTIPHARM 250 mg,comprimé pelliculé,orale,,
ACIDE URSODESOXYCHOLIQUE TEVA 250 mg,comprimé pelliculé,orale,,
ACIDE URSODESOXYCHOLIQUE TEVA 500 mg,comprimé pelliculé sécable,orale,,
ACIDE URSODESOXYCHOLIQUE VIATRIS 250 mg,comprimé pelliculé,orale,,
ACIDE URSODESOXYCHOLIQUE VIATRIS 500 mg,comprimé pelliculé sécable,orale,,
ACIDE ZOLEDRONIQUE ALTAN 4 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE ALTAN 5 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE BIOGARAN 4 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE MYLAN 4 mg/5 ml,solution à diluer pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE MYLAN PHARMA 4 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE SANDOZ 4 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE SANDOZ 5 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE VIATRIS 5 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDE ZOLEDRONIQUE ZENTIVA LAB 4 mg/100 ml,solution pour perfusion,intraveineuse,,
ACIDRINE,comprimé à croquer,orale,,
ACIDUM PHOSPHORICUM COMPLEXE N°5,solution buvable en gouttes,sublinguale,,
ACIDUM PHOSPHORICUM COMPOSE,orale/sublinguale,Autorisation active,,
ACLASTA 5 mg,solution pour perfusion,intraveineuse,,
ACODORON,solution injectable,sous-cutanée,,
ACONITUM FEROX BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACONITUM NAPELLUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACONITUM NAPELLUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACONITUM NAPELLUS WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
ACORSPRAY 200 microgrammes par inhalation,solution pour inhalation,inhalée,,
ACT-HIB 10 microgrammes/0, poudre et solvant pour solution injectable en seringue préremplie. Vaccin conjugué de l'Haemophilus type b,poudre et  solvant pour solution injectable,,
ACTAEA RACEMOSA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACTAEA RACEMOSA DECOCTE WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
ACTAEA RACEMOSA FERRIER,granules et  solution en gouttes en gouttes,orale/sublinguale,,
ACTAEA RACEMOSA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACTAEA SPICATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ACTAEA SPICATA LEHNING, comprimé et solution(s) et granules et poudre et pommade,orale/sublinguale,,
ACTHEANE,comprimé,sublinguale,,
ACTICARBINE 70 mg,comprimé enrobé,orale,,
ACTICARBINE,comprimé enrobé,orale,,
ACTIFED RHUME JOUR ET NUIT,comprimé et  comprimé,orale,,
ACTIFED RHUME,comprimé,orale,,
ACTIQ 1200 microgrammes,comprimé,voie buccale autre,,
ACTIQ 1600 microgrammes,comprimé,voie buccale autre,,
ACTIQ 200 microgrammes,comprimé,voie buccale autre,,
ACTIQ 400 microgrammes,comprimé,voie buccale autre,,
ACTIQ 600 microgrammes,comprimé,voie buccale autre,,
ACTIQ 800 microgrammes,comprimé,voie buccale autre,,
ACTISKENAN 1 mg,comprimé orodispersible,orale,,
ACTISKENAN 10 mg,comprimé orodispersible,orale,,
ACTISKENAN 2, comprimé orodispersible,comprimé orodispersible,,
ACTISKENAN 20 mg,comprimé orodispersible,orale,,
ACTISKENAN 30 mg,comprimé orodispersible,orale,,
ACTISKENAN 5 mg,comprimé orodispersible,orale,,
ACTISOUFRE 4 mg/50 mg par 10 ml,suspension buvable ou pour instillation,nasale/orale,,
ACTISOUFRE,solution pour pulvérisation,nasale/orale,,
ACTIVELLE,comprimé pelliculé,orale,,
ACTIVIR 5 % crème,cutanée,Autorisation active,,
ACTONEL 30 mg,comprimé pelliculé,orale,,
ACTONEL 35 mg,comprimé gastro-résistant(e),orale,,
ACTONEL 5 mg,comprimé pelliculé,orale,,
ACTONEL 75 mg,comprimé pelliculé,orale,,
ACTONELCOMBI 35 mg + 1000 mg/880 UI,comprimé pelliculé et  granulés effervescent(e),orale,,
ACTOSOLV 100 000 UI,poudre pour solution injectable pour perfusion,intraartérielle/intracoronaire/intraveineuse/voie extracorporelle autre,,
ACTOSOLV 600 000 UI,poudre pour solution injectable pour perfusion,intraartérielle/intracoronaire/intraveineuse/voie extracorporelle autre,,
ACTRAPID 100 unités internationales/ml,solution injectable,intraveineuse/sous-cutanée,,
ACTRAPID PENFILL 100 unités internationales/ml,solution injectable,intraveineuse/sous-cutanée,,
ACTRON,comprimé effervescent(e),orale,,
ACUILIX 20 mg/12, comprimé pelliculé sécable,comprimé pelliculé sécable,,
ACUITEL 20 mg,comprimé enrobé sécable,orale,,
ACUITEL 5 mg,comprimé enrobé sécable,orale,,
ACULAR 0, collyre en solution,collyre,,
ACUPAN 20 mg/2 mL,solution injectable,intramusculaire/intraveineuse,,
ADAPALENE TEVA 0, crème,crème,,
ADAPALENE ZENTIVA 0, crème,crème,,
ADARTREL 0, comprimé pelliculé,comprimé pelliculé,,
ADARTREL 2 mg,comprimé pelliculé,orale,,
ADEMPAS 0, comprimé pelliculé,comprimé pelliculé,,
ADEMPAS 1 mg,comprimé pelliculé,orale,,
ADEMPAS 1, comprimé pelliculé,comprimé pelliculé,,
ADEMPAS 2 mg,comprimé pelliculé,orale,,
ADEMPAS 2, comprimé pelliculé,comprimé pelliculé,,
ADENURIC 120 mg,comprimé pelliculé,orale,,
ADENURIC 80 mg,comprimé pelliculé,orale,,
ADEPAL,comprimé enrobé et  comprimé enrobé enrobé,orale,,
ADIAZINE 500 mg,comprimé,orale,,
ADONIS VERNALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ADONIS VERNALIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ADONIS VERNALIS, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH,granules et  poudre et  solution en gouttes en gouttes,,
ADONTEX 0, solution pour bain de bouche,solution pour bain de bouche,,
ADRENALINE AGUETTANT 0, solution injectable en seringue pré-remplie,solution injectable,,
ADRENALINE AGUETTANT 1 mg/mL SANS SULFITE,solution injectable,endotrachéobronchique/intramusculaire/intraosseuse/intraveineuse/sous-cutanée,,
ADRENALINE AGUETTANT 1 mg/ml,solution injectable,intramusculaire/intraveineuse/sous-cutanée,,
ADRENALINE RENAUDIN 0, solution injectable en ampoule,solution injectable,,
ADRENALINE RENAUDIN 1 mg/ml,solution injectable,intraveineuse/sous-cutanée,,
ADRENALINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ADRENALINUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ADRIBLASTINE 10 mg,lyophilisat pour usage parentéral pour perfusion,intraveineuse,,
ADRIBLASTINE 50 mg,lyophilisat pour usage parentéral pour perfusion,intraveineuse,,
ADRIGYL 10 000 UI/ml,solution buvable en gouttes,orale,,
ADROVANCE 70 mg/2800 UI,comprimé,orale,,
ADROVANCE 70 mg/5600 UI,comprimé,orale,,
ADULAIRE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ADVIL 200 mg,comprimé enrobé,orale,,
ADVIL 400 mg,comprimé enrobé,orale,,
ADVILCAPS 200 mg,capsule molle,orale,,
ADVILCAPS 400 mg,capsule molle,orale,,
ADVILMED 100 mg,comprimé enrobé,orale,,
ADVILMED 400 mg,comprimé enrobé,orale,,
ADVILMED 5 %,gel,cutanée,,
ADVILMED ENFANTS ET NOURRISSONS 20 mg/1 ml,suspension buvable,orale,,
AERIUS 0, solution buvable,solution buvable,,
AERIUS 5 mg,comprimé pelliculé,orale,,
AESCULUS COMPLEXE N°103,solution buvable en gouttes,sublinguale,,
AESCULUS COMPOSE,orale/sublinguale,Autorisation active,,
AESCULUS GLABRA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AESCULUS HIPPOCASTANUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AESCULUS HIPPOCASTANUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AESCULUS HIPPOCASTANUM WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
AESCULUS HIPPOCASTANUM, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH, crème et solution et granules et poudre,,
AETHIOPS MERCURIALIS MINERALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AETHIOPS MERCURIALIS MINERALIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AETHUSA CYNAPIUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AETHUSA CYNAPIUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AETOXISCLEROL 1 % (20 mg/2 mL),solution injectable,intraveineuse,,
AETOXISCLEROL TAMPONNE 0, solution injectable (I.V.) en ampoule,solution injectable,,
AETOXISCLEROL TAMPONNE 2 POUR CENT (40 mg/2 ml),solution injectable,intraveineuse,,
AETOXISCLEROL TAMPONNE 3 POUR CENT (60 mg/2 ml),solution injectable,intraveineuse,,
AFINITOR 10 mg,comprimé,orale,,
AFINITOR 2, comprimé,comprimé,,
AFINITOR 5 mg,comprimé,orale,,
AFLAVIS 1 mg/mL,collyre en solution,ophtalmique,,
AFTAGEL,gel,voie buccale autre,,
AGARICUS BULBOSUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGARICUS BULBOSUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGARICUS BULBOSUS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
AGARICUS MUSCARIUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGARICUS MUSCARIUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGARICUS MUSCARIUS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
AGAVE AMERICANA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGIOLAX,granulés,orale,,
AGNUS CASTUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGNUS CASTUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGNUS CASTUS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
AGOMELATINE BIOGARAN 25 mg,comprimé pelliculé,orale,,
AGOMELATINE CRISTERS 25 mg,comprimé pelliculé,orale,,
AGOMELATINE EG 25 mg,comprimé pelliculé,orale,,
AGOMELATINE VIATRIS 25 mg,comprimé pelliculé,orale,,
AGOMELATINE ZENTIVA 25 mg,comprimé pelliculé,orale,,
AGRAPHIS NUTANS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGRAPHIS NUTANS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGRIMONIA EUPATORIA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AGYRAX,comprimé sécable,orale,,
AILANTHUS GLANDULOSA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AILANTHUS GLANDULOSA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
AIROMIR AUTOHALER 100 microgrammes/dose,suspension pour inhalation,inhalée,,
AKINETON L.P. 4 mg,comprimé enrobé à libération prolongée,orale,,
AKLIEF 50 microgrammes/g,crème,cutanée,,
AKYNZEO 300 mg/0, gélule,gélule,,
ALAIRGIX ALLERGIE CETIRIZINE 10 mg,comprimé à sucer sécable,orale,,
ALAIRGIX RHINITE ALLERGIQUE CROMOGLICATE DE SODIUM 2 %,solution pour pulvérisation,nasale,,
ALCAPHOR,solution buvable,orale,,
ALCHEMILLA VULGARIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALCOOL A USAGE MEDICAL GILBERT 0, compresse imprégnée,compresse imprégné(e),,
ALCOOL A USAGE MEDICAL GILBERT 2, compresse imprégnée,compresse imprégné(e),,
ALCOOL A USAGE MEDICAL GILBERT,solution pour application,cutanée,,
ALCOOL MODIFIE COOPER,solution pour application,cutanée,,
ALCOOL MODIFIE GIFRER,solution pour application,cutanée,,
ALDACTAZINE 25 mg/15 mg,comprimé sécable,orale,,
ALDACTONE 25 mg,comprimé sécable,orale,,
ALDACTONE 50 mg,comprimé sécable,orale,,
ALDACTONE 75 mg,comprimé sécable,orale,,
ALDARA 5 %,crème,cutanée,,
ALDOMET 250 mg,comprimé enrobé,orale,,
ALDOMET 500 mg,comprimé enrobé,orale,,
ALDOSTERONE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALECENSA 150 mg,gélule,orale,,
ALENDRONATE TEVA 10 mg,comprimé,orale,,
ALEPSAL 100 mg,comprimé,orale,,
ALEPSAL 15 mg,comprimé,orale,,
ALEPSAL 150 mg,comprimé,orale,,
ALEPSAL 50 mg,comprimé,orale,,
ALETRIS FARINOSA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALETRIS FARINOSA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ALEVETABS 220 mg,comprimé pelliculé,orale,,
ALFA-AMYLASE BIOGARAN CONSEIL 200 U.CEIP/ml,sirop,orale,,
ALFA-AMYLASE BIOGARAN CONSEIL 3 000 U.CEIP,comprimé enrobé,orale,,
ALFACALCIDOL THERAMEX 0, capsule molle,capsule molle,,
ALFACALCIDOL THERAMEX 1 microgramme,capsule molle,orale,,
